Latitude,Longitude,Stop Name,Stop Status
40.691116,-73.997533,ATLANTIC AV/HICKS ST,at stop
40.651254,-74.003918,5 AV/39 ST,approaching
40.619625,-74.02782,5 AV/89 ST,approaching
40.625213,-74.024382,5 AV/81 ST,approaching
40.688372,-73.988545,ATLANTIC AV/SMITH ST,approaching
40.669925,-73.985673,5 AV/9 ST,approaching
40.632224,-74.021519,5 AV/Bay Ridge AV,< 1 stop away
40.689481,-73.99173,ATLANTIC AV/SMITH ST,< 1 stop away
40.658128,-73.996774,5 AV/30 ST,< 1 stop away
