Latitude,Longitude,Stop Name,Stop Status
40.674483,-73.950065,NOSTRAND AV/PROSPECT PL,at stop
40.694679,-73.952424,NOSTRAND AV/MYRTLE AV,at stop
40.664155,-73.951002,NOSTRAND AV/EMPIRE BL,approaching
40.597476,-73.941321,NOSTRAND AV/AV V,approaching
40.686332,-73.954503,BEDFORD AV/GREENE AV,< 1 stop away
